,Team,Date,Opponent,WINorLOSS
1,ATL,29/10/14,TOR,L
2,ATL,01/11/14,IND,W
3,ATL,05/11/14,SAS,L
4,ATL,07/11/14,CHO,L
5,ATL,08/11/14,NYK,W
6,ATL,10/11/14,NYK,W
7,ATL,12/11/14,UTA,W
8,ATL,14/11/14,MIA,W
9,ATL,15/11/14,CLE,L
10,ATL,18/11/14,LAL,L
11,ATL,21/11/14,DET,W
12,ATL,25/11/14,WAS,W
13,ATL,26/11/14,TOR,L
14,ATL,28/11/14,NOP,W
15,ATL,29/11/14,CHO,W
16,ATL,02/12/14,BOS,W
17,ATL,03/12/14,MIA,W
18,ATL,05/12/14,BRK,W
19,ATL,07/12/14,DEN,W
20,ATL,08/12/14,IND,W
21,ATL,10/12/14,PHI,W
22,ATL,12/12/14,ORL,W
23,ATL,13/12/14,ORL,L
24,ATL,15/12/14,CHI,W
25,ATL,17/12/14,CLE,W
26,ATL,20/12/14,HOU,W
27,ATL,22/12/14,DAL,W
28,ATL,23/12/14,LAC,W
29,ATL,26/12/14,MIL,L
30,ATL,27/12/14,MIL,W
31,ATL,30/12/14,CLE,W
32,ATL,02/01/15,UTA,W
33,ATL,03/01/15,POR,W
34,ATL,05/01/15,LAC,W
35,ATL,07/01/15,MEM,W
36,ATL,09/01/15,DET,W
37,ATL,11/01/15,WAS,W
38,ATL,13/01/15,PHI,W
39,ATL,14/01/15,BOS,W
40,ATL,16/01/15,TOR,W
41,ATL,17/01/15,CHI,W
42,ATL,19/01/15,DET,W
43,ATL,21/01/15,IND,W
44,ATL,23/01/15,OKC,W
45,ATL,25/01/15,MIN,W
46,ATL,28/01/15,BRK,W
47,ATL,30/01/15,POR,W
48,ATL,31/01/15,PHI,W
49,ATL,02/02/15,NOP,L
50,ATL,04/02/15,WAS,W
51,ATL,06/02/15,GSW,W
52,ATL,08/02/15,MEM,L
53,ATL,09/02/15,MIN,W
54,ATL,11/02/15,BOS,L
55,ATL,20/02/15,TOR,L
56,ATL,22/02/15,MIL,W
57,ATL,25/02/15,DAL,W
58,ATL,27/02/15,ORL,W
59,ATL,28/02/15,MIA,W
60,ATL,03/03/15,HOU,W
61,ATL,06/03/15,CLE,W
62,ATL,07/03/15,PHI,L
63,ATL,09/03/15,SAC,W
64,ATL,11/03/15,DEN,L
65,ATL,13/03/15,PHO,W
66,ATL,15/03/15,LAL,W
67,ATL,16/03/15,SAC,W
68,ATL,18/03/15,GSW,L
69,ATL,20/03/15,OKC,L
70,ATL,22/03/15,SAS,L
71,ATL,25/03/15,ORL,W
72,ATL,27/03/15,MIA,W
73,ATL,28/03/15,CHO,L
74,ATL,30/03/15,MIL,W
75,ATL,31/03/15,DET,L
76,ATL,04/04/15,BRK,W
77,ATL,07/04/15,PHO,W
78,ATL,08/04/15,BRK,W
79,ATL,10/04/15,CHO,W
80,ATL,12/04/15,WAS,L
81,ATL,13/04/15,NYK,L
82,ATL,15/04/15,CHI,L
110,BOS,29/10/14,BRK,W
210,BOS,01/11/14,HOU,L
310,BOS,03/11/14,DAL,L
410,BOS,05/11/14,TOR,L
510,BOS,07/11/14,IND,W
610,BOS,08/11/14,CHI,W
710,BOS,12/11/14,OKC,L
83,BOS,14/11/14,CLE,L
91,BOS,17/11/14,PHO,L
101,BOS,19/11/14,PHI,W
111,BOS,21/11/14,MEM,L
121,BOS,23/11/14,POR,L
131,BOS,28/11/14,CHI,L
141,BOS,30/11/14,SAS,L
151,BOS,02/12/14,ATL,L
161,BOS,03/12/14,DET,W
171,BOS,05/12/14,LAL,W
181,BOS,07/12/14,WAS,W
191,BOS,08/12/14,WAS,L
201,BOS,10/12/14,CHO,L
211,BOS,12/12/14,NYK,L
221,BOS,15/12/14,PHI,W
231,BOS,17/12/14,ORL,W
241,BOS,19/12/14,MIN,W
251,BOS,21/12/14,MIA,L
261,BOS,23/12/14,ORL,L
271,BOS,26/12/14,BRK,L
281,BOS,27/12/14,WAS,L
291,BOS,31/12/14,SAC,W
301,BOS,02/01/15,DAL,L
311,BOS,03/01/15,CHI,L
321,BOS,05/01/15,CHO,L
331,BOS,07/01/15,BRK,W
341,BOS,09/01/15,IND,L
351,BOS,10/01/15,TOR,L
361,BOS,12/01/15,NOP,W
371,BOS,14/01/15,ATL,L
381,BOS,16/01/15,CHI,L
391,BOS,19/01/15,LAC,L
401,BOS,22/01/15,POR,W
411,BOS,23/01/15,DEN,W
421,BOS,25/01/15,GSW,L
431,BOS,26/01/15,UTA,W
441,BOS,28/01/15,MIN,L
451,BOS,30/01/15,HOU,L
461,BOS,01/02/15,MIA,L
471,BOS,03/02/15,NYK,W
481,BOS,04/02/15,DEN,W
491,BOS,06/02/15,PHI,W
501,BOS,07/02/15,MIL,L
511,BOS,11/02/15,ATL,W
521,BOS,20/02/15,SAC,L
531,BOS,22/02/15,LAL,L
541,BOS,23/02/15,PHO,W
551,BOS,25/02/15,NYK,W
561,BOS,27/02/15,CHO,W
571,BOS,01/03/15,GSW,L
581,BOS,03/03/15,CLE,L
591,BOS,04/03/15,UTA,W
601,BOS,06/03/15,NOP,W
611,BOS,08/03/15,ORL,L
621,BOS,09/03/15,MIA,W
631,BOS,11/03/15,MEM,W
641,BOS,13/03/15,ORL,W
651,BOS,14/03/15,IND,W
661,BOS,16/03/15,PHI,W
671,BOS,18/03/15,OKC,L
681,BOS,20/03/15,SAS,L
691,BOS,22/03/15,DET,L
701,BOS,23/03/15,BRK,W
711,BOS,25/03/15,MIA,L
721,BOS,27/03/15,NYK,W
731,BOS,29/03/15,LAC,L
741,BOS,30/03/15,CHO,W
751,BOS,01/04/15,IND,W
761,BOS,03/04/15,MIL,L
771,BOS,04/04/15,TOR,W
781,BOS,08/04/15,DET,W
791,BOS,10/04/15,CLE,W
801,BOS,12/04/15,CLE,W
811,BOS,14/04/15,TOR,W
821,BOS,15/04/15,MIL,W
112,BRK,29/10/14,BOS,L
212,BRK,01/11/14,DET,W
312,BRK,03/11/14,OKC,W
412,BRK,05/11/14,MIN,L
512,BRK,07/11/14,NYK,W
612,BRK,09/11/14,ORL,W
712,BRK,12/11/14,PHO,L
84,BRK,13/11/14,GSW,L
92,BRK,15/11/14,POR,L
102,BRK,17/11/14,MIA,L
113,BRK,19/11/14,MIL,L
122,BRK,21/11/14,OKC,W
132,BRK,22/11/14,SAS,L
142,BRK,26/11/14,PHI,W
152,BRK,30/11/14,CHI,L
162,BRK,02/12/14,NYK,W
172,BRK,03/12/14,SAS,W
182,BRK,05/12/14,ATL,L
192,BRK,08/12/14,CLE,L
202,BRK,10/12/14,CHI,L
213,BRK,12/12/14,PHI,W
222,BRK,13/12/14,CHO,W
232,BRK,16/12/14,MIA,L
242,BRK,17/12/14,TOR,L
252,BRK,19/12/14,CLE,L
262,BRK,21/12/14,DET,W
272,BRK,23/12/14,DEN,W
282,BRK,26/12/14,BOS,W
292,BRK,27/12/14,IND,L
302,BRK,29/12/14,SAC,W
313,BRK,30/12/14,CHI,W
322,BRK,02/01/15,ORL,W
332,BRK,04/01/15,MIA,L
342,BRK,05/01/15,DAL,L
352,BRK,07/01/15,BOS,L
362,BRK,09/01/15,PHI,L
372,BRK,10/01/15,DET,L
382,BRK,12/01/15,HOU,L
392,BRK,14/01/15,MEM,L
402,BRK,16/01/15,WAS,W
413,BRK,17/01/15,WAS,L
422,BRK,21/01/15,SAC,W
432,BRK,22/01/15,LAC,L
442,BRK,24/01/15,UTA,L
452,BRK,28/01/15,ATL,L
462,BRK,30/01/15,TOR,L
472,BRK,02/02/15,LAC,W
482,BRK,04/02/15,TOR,W
492,BRK,06/02/15,NYK,W
502,BRK,07/02/15,WAS,L
513,BRK,09/02/15,MIL,L
522,BRK,10/02/15,MEM,L
532,BRK,20/02/15,LAL,W
542,BRK,23/02/15,DEN,W
552,BRK,25/02/15,NOP,L
562,BRK,27/02/15,HOU,L
572,BRK,28/02/15,DAL,W
582,BRK,02/03/15,GSW,W
592,BRK,04/03/15,CHO,L
602,BRK,06/03/15,PHO,L
613,BRK,08/03/15,UTA,L
622,BRK,10/03/15,NOP,L
632,BRK,11/03/15,MIA,L
642,BRK,14/03/15,PHI,W
652,BRK,16/03/15,MIN,W
662,BRK,18/03/15,CLE,L
672,BRK,20/03/15,MIL,W
682,BRK,21/03/15,IND,W
692,BRK,23/03/15,BOS,L
702,BRK,25/03/15,CHO,W
713,BRK,27/03/15,CLE,W
722,BRK,29/03/15,LAL,W
732,BRK,31/03/15,IND,W
742,BRK,01/04/15,NYK,W
752,BRK,03/04/15,TOR,W
762,BRK,04/04/15,ATL,L
772,BRK,06/04/15,POR,W
782,BRK,08/04/15,ATL,L
792,BRK,10/04/15,WAS,W
802,BRK,12/04/15,MIL,L
812,BRK,13/04/15,CHI,L
822,BRK,15/04/15,ORL,W
114,CHO,29/10/14,MIL,W
214,CHO,01/11/14,MEM,L
314,CHO,02/11/14,NYK,L
414,CHO,04/11/14,NOP,L
514,CHO,05/11/14,MIA,W
614,CHO,07/11/14,ATL,W
714,CHO,09/11/14,LAL,L
85,CHO,11/11/14,POR,L
93,CHO,14/11/14,PHO,W
103,CHO,15/11/14,GSW,L
115,CHO,17/11/14,DAL,L
123,CHO,19/11/14,IND,L
133,CHO,21/11/14,ORL,L
143,CHO,23/11/14,MIA,L
153,CHO,24/11/14,LAC,L
163,CHO,26/11/14,POR,L
173,CHO,28/11/14,GSW,L
183,CHO,29/11/14,ATL,L
193,CHO,03/12/14,CHI,L
203,CHO,05/12/14,NYK,W
215,CHO,10/12/14,BOS,W
223,CHO,12/12/14,MEM,L
233,CHO,13/12/14,BRK,L
243,CHO,15/12/14,CLE,L
253,CHO,17/12/14,PHO,L
263,CHO,19/12/14,PHI,W
273,CHO,20/12/14,UTA,W
283,CHO,22/12/14,DEN,W
293,CHO,23/12/14,MIL,W
303,CHO,26/12/14,OKC,L
315,CHO,27/12/14,ORL,L
323,CHO,29/12/14,MIL,L
333,CHO,31/12/14,HOU,L
343,CHO,02/01/15,CLE,L
353,CHO,03/01/15,ORL,W
363,CHO,05/01/15,BOS,W
373,CHO,07/01/15,NOP,W
383,CHO,08/01/15,TOR,W
393,CHO,10/01/15,NYK,W
403,CHO,14/01/15,SAS,L
415,CHO,17/01/15,IND,W
423,CHO,19/01/15,MIN,W
433,CHO,21/01/15,MIA,W
443,CHO,23/01/15,CLE,L
453,CHO,24/01/15,NYK,W
463,CHO,28/01/15,SAS,L
473,CHO,31/01/15,DEN,W
483,CHO,02/02/15,WAS,W
493,CHO,05/02/15,WAS,W
503,CHO,07/02/15,PHI,L
515,CHO,08/02/15,IND,L
523,CHO,10/02/15,DET,L
533,CHO,21/02/15,OKC,L
543,CHO,22/02/15,DAL,L
553,CHO,25/02/15,CHI,W
563,CHO,27/02/15,BOS,L
573,CHO,01/03/15,ORL,W
583,CHO,03/03/15,LAL,W
593,CHO,04/03/15,BRK,W
603,CHO,06/03/15,TOR,W
615,CHO,08/03/15,DET,W
623,CHO,09/03/15,WAS,L
633,CHO,11/03/15,SAC,L
643,CHO,13/03/15,CHI,W
653,CHO,16/03/15,UTA,L
663,CHO,17/03/15,LAC,L
673,CHO,20/03/15,SAC,L
683,CHO,22/03/15,MIN,W
693,CHO,23/03/15,CHI,L
703,CHO,25/03/15,BRK,L
715,CHO,27/03/15,WAS,L
723,CHO,28/03/15,ATL,W
733,CHO,30/03/15,BOS,L
743,CHO,01/04/15,DET,W
753,CHO,03/04/15,IND,L
763,CHO,04/04/15,PHI,W
773,CHO,07/04/15,MIA,L
783,CHO,08/04/15,TOR,L
793,CHO,10/04/15,ATL,L
803,CHO,12/04/15,DET,L
813,CHO,13/04/15,HOU,L
823,CHO,15/04/15,TOR,L
116,CHI,29/10/14,NYK,W
216,CHI,31/10/14,CLE,L
316,CHI,01/11/14,MIN,W
416,CHI,04/11/14,ORL,W
516,CHI,05/11/14,MIL,W
616,CHI,07/11/14,PHI,W
716,CHI,08/11/14,BOS,L
86,CHI,10/11/14,DET,W
94,CHI,13/11/14,TOR,W
104,CHI,15/11/14,IND,L
117,CHI,17/11/14,LAC,W
124,CHI,20/11/14,SAC,L
134,CHI,21/11/14,POR,L
144,CHI,24/11/14,UTA,W
154,CHI,25/11/14,DEN,L
164,CHI,28/11/14,BOS,W
174,CHI,30/11/14,BRK,W
184,CHI,02/12/14,DAL,L
194,CHI,03/12/14,CHO,W
204,CHI,06/12/14,GSW,L
217,CHI,10/12/14,BRK,W
224,CHI,12/12/14,POR,W
234,CHI,14/12/14,MIA,W
244,CHI,15/12/14,ATL,L
254,CHI,18/12/14,NYK,W
264,CHI,19/12/14,MEM,W
274,CHI,22/12/14,TOR,W
284,CHI,23/12/14,WAS,W
294,CHI,25/12/14,LAL,W
304,CHI,27/12/14,NOP,W
317,CHI,29/12/14,IND,W
324,CHI,30/12/14,BRK,L
334,CHI,01/01/15,DEN,W
344,CHI,03/01/15,BOS,W
354,CHI,05/01/15,HOU,W
364,CHI,07/01/15,UTA,L
374,CHI,09/01/15,WAS,L
384,CHI,10/01/15,MIL,W
394,CHI,12/01/15,ORL,L
404,CHI,14/01/15,WAS,L
417,CHI,16/01/15,BOS,W
424,CHI,17/01/15,ATL,L
434,CHI,19/01/15,CLE,L
444,CHI,22/01/15,SAS,W
454,CHI,23/01/15,DAL,W
464,CHI,25/01/15,MIA,L
474,CHI,27/01/15,GSW,W
484,CHI,29/01/15,LAL,L
494,CHI,30/01/15,PHO,L
504,CHI,04/02/15,HOU,L
517,CHI,07/02/15,NOP,W
524,CHI,08/02/15,ORL,W
534,CHI,10/02/15,SAC,W
544,CHI,12/02/15,CLE,W
554,CHI,20/02/15,DET,L
564,CHI,21/02/15,PHO,W
574,CHI,23/02/15,MIL,W
584,CHI,25/02/15,CHO,L
594,CHI,27/02/15,MIN,W
604,CHI,01/03/15,LAC,L
617,CHI,03/03/15,WAS,W
624,CHI,05/03/15,OKC,W
634,CHI,06/03/15,IND,L
644,CHI,08/03/15,SAS,L
654,CHI,09/03/15,MEM,L
664,CHI,11/03/15,PHI,W
674,CHI,13/03/15,CHO,L
684,CHI,15/03/15,OKC,L
694,CHI,18/03/15,IND,W
704,CHI,20/03/15,TOR,W
717,CHI,21/03/15,DET,L
724,CHI,23/03/15,CHO,W
734,CHI,25/03/15,TOR,W
744,CHI,28/03/15,NYK,W
754,CHI,01/04/15,MIL,L
764,CHI,03/04/15,DET,W
774,CHI,05/04/15,CLE,L
784,CHI,08/04/15,ORL,L
794,CHI,09/04/15,MIA,W
804,CHI,11/04/15,PHI,W
814,CHI,13/04/15,BRK,W
824,CHI,15/04/15,ATL,W
118,CLE,30/10/14,NYK,L
218,CLE,31/10/14,CHI,W
318,CLE,04/11/14,POR,L
418,CLE,05/11/14,UTA,L
518,CLE,07/11/14,DEN,W
618,CLE,10/11/14,NOP,W
718,CLE,14/11/14,BOS,W
87,CLE,15/11/14,ATL,W
95,CLE,17/11/14,DEN,L
105,CLE,19/11/14,SAS,L
119,CLE,21/11/14,WAS,L
125,CLE,22/11/14,TOR,L
135,CLE,24/11/14,ORL,W
145,CLE,26/11/14,WAS,W
155,CLE,29/11/14,IND,W
165,CLE,02/12/14,MIL,W
175,CLE,04/12/14,NYK,W
185,CLE,05/12/14,TOR,W
195,CLE,08/12/14,BRK,W
205,CLE,09/12/14,TOR,W
219,CLE,11/12/14,OKC,L
225,CLE,12/12/14,NOP,L
235,CLE,15/12/14,CHO,W
245,CLE,17/12/14,ATL,L
255,CLE,19/12/14,BRK,W
265,CLE,21/12/14,MEM,W
275,CLE,23/12/14,MIN,W
285,CLE,25/12/14,MIA,L
295,CLE,26/12/14,ORL,W
305,CLE,28/12/14,DET,L
319,CLE,30/12/14,ATL,L
325,CLE,31/12/14,MIL,L
335,CLE,02/01/15,CHO,W
345,CLE,04/01/15,DAL,L
355,CLE,05/01/15,PHI,L
365,CLE,07/01/15,HOU,L
375,CLE,09/01/15,GSW,L
385,CLE,11/01/15,SAC,L
395,CLE,13/01/15,PHO,L
405,CLE,15/01/15,LAL,W
419,CLE,16/01/15,LAC,W
425,CLE,19/01/15,CHI,W
435,CLE,21/01/15,UTA,W
445,CLE,23/01/15,CHO,W
455,CLE,25/01/15,OKC,W
465,CLE,27/01/15,DET,W
475,CLE,28/01/15,POR,W
485,CLE,30/01/15,SAC,W
495,CLE,31/01/15,MIN,W
505,CLE,02/02/15,PHI,W
519,CLE,05/02/15,LAC,W
525,CLE,06/02/15,IND,L
535,CLE,08/02/15,LAL,W
545,CLE,11/02/15,MIA,W
555,CLE,12/02/15,CHI,L
565,CLE,20/02/15,WAS,W
575,CLE,22/02/15,NYK,W
585,CLE,24/02/15,DET,W
595,CLE,26/02/15,GSW,W
605,CLE,27/02/15,IND,L
619,CLE,01/03/15,HOU,L
625,CLE,03/03/15,BOS,W
635,CLE,04/03/15,TOR,W
645,CLE,06/03/15,ATL,L
655,CLE,07/03/15,PHO,W
665,CLE,10/03/15,DAL,W
675,CLE,12/03/15,SAS,W
685,CLE,15/03/15,ORL,W
695,CLE,16/03/15,MIA,L
705,CLE,18/03/15,BRK,W
719,CLE,20/03/15,IND,W
725,CLE,22/03/15,MIL,W
735,CLE,25/03/15,MEM,W
745,CLE,27/03/15,BRK,L
755,CLE,29/03/15,PHI,W
765,CLE,02/04/15,MIA,W
775,CLE,05/04/15,CHI,W
785,CLE,08/04/15,MIL,W
795,CLE,10/04/15,BOS,L
805,CLE,12/04/15,BOS,L
815,CLE,13/04/15,DET,W
825,CLE,15/04/15,WAS,W
120,DAL,28/10/14,SAS,L
220,DAL,30/10/14,UTA,W
320,DAL,01/11/14,NOP,W
420,DAL,03/11/14,BOS,W
520,DAL,06/11/14,POR,L
620,DAL,07/11/14,UTA,W
720,DAL,09/11/14,MIA,L
88,DAL,11/11/14,SAC,W
96,DAL,13/11/14,PHI,W
106,DAL,15/11/14,MIN,W
1110,DAL,17/11/14,CHO,W
126,DAL,19/11/14,WAS,W
136,DAL,21/11/14,LAL,W
146,DAL,22/11/14,HOU,L
156,DAL,24/11/14,IND,L
166,DAL,26/11/14,NYK,W
176,DAL,28/11/14,TOR,W
186,DAL,29/11/14,PHI,W
196,DAL,02/12/14,CHI,W
206,DAL,03/12/14,MIL,W
2110,DAL,05/12/14,PHO,L
226,DAL,07/12/14,MIL,W
236,DAL,09/12/14,MEM,L
246,DAL,10/12/14,NOP,W
256,DAL,13/12/14,GSW,L
266,DAL,16/12/14,NYK,W
276,DAL,17/12/14,DET,W
286,DAL,20/12/14,SAS,W
296,DAL,22/12/14,ATL,L
306,DAL,23/12/14,PHO,L
3110,DAL,26/12/14,LAL,W
326,DAL,28/12/14,OKC,W
336,DAL,30/12/14,WAS,W
346,DAL,02/01/15,BOS,W
356,DAL,04/01/15,CLE,W
366,DAL,05/01/15,BRK,W
376,DAL,07/01/15,DET,L
386,DAL,10/01/15,LAC,L
396,DAL,13/01/15,SAC,W
406,DAL,14/01/15,DEN,L
4110,DAL,16/01/15,DEN,W
426,DAL,19/01/15,MEM,W
436,DAL,21/01/15,MIN,W
446,DAL,23/01/15,CHI,L
456,DAL,25/01/15,NOP,L
466,DAL,27/01/15,MEM,L
476,DAL,28/01/15,HOU,L
486,DAL,30/01/15,MIA,W
496,DAL,31/01/15,ORL,W
506,DAL,02/02/15,MIN,W
5110,DAL,04/02/15,GSW,L
526,DAL,05/02/15,SAC,W
536,DAL,07/02/15,POR,W
546,DAL,09/02/15,LAC,L
556,DAL,11/02/15,UTA,W
566,DAL,19/02/15,OKC,L
576,DAL,20/02/15,HOU,W
586,DAL,22/02/15,CHO,W
596,DAL,24/02/15,TOR,W
606,DAL,25/02/15,ATL,L
6110,DAL,28/02/15,BRK,L
626,DAL,02/03/15,NOP,W
636,DAL,05/03/15,POR,L
646,DAL,06/03/15,GSW,L
656,DAL,08/03/15,LAL,W
666,DAL,10/03/15,CLE,L
676,DAL,13/03/15,LAC,W
686,DAL,16/03/15,OKC,W
696,DAL,18/03/15,ORL,W
706,DAL,20/03/15,MEM,L
7110,DAL,22/03/15,PHO,L
726,DAL,24/03/15,SAS,W
736,DAL,27/03/15,SAS,L
746,DAL,29/03/15,IND,L
756,DAL,01/04/15,OKC,W
766,DAL,02/04/15,HOU,L
776,DAL,04/04/15,GSW,L
786,DAL,08/04/15,PHO,W
796,DAL,10/04/15,DEN,W
806,DAL,12/04/15,LAL,W
816,DAL,13/04/15,UTA,L
826,DAL,15/04/15,POR,W
127,DEN,29/10/14,DET,W
227,DEN,01/11/14,OKC,L
327,DEN,03/11/14,SAC,L
427,DEN,05/11/14,SAC,L
527,DEN,07/11/14,CLE,L
627,DEN,09/11/14,POR,L
727,DEN,12/11/14,POR,L
89,DEN,14/11/14,IND,W
97,DEN,16/11/14,NYK,L
107,DEN,17/11/14,CLE,W
1111,DEN,19/11/14,OKC,W
128,DEN,21/11/14,NOP,W
137,DEN,23/11/14,LAL,W
147,DEN,25/11/14,CHI,W
157,DEN,26/11/14,PHO,L
167,DEN,28/11/14,PHO,W
177,DEN,01/12/14,UTA,W
187,DEN,02/12/14,POR,L
197,DEN,05/12/14,WAS,L
207,DEN,07/12/14,ATL,L
2111,DEN,08/12/14,TOR,L
228,DEN,10/12/14,MIA,W
237,DEN,13/12/14,HOU,L
247,DEN,14/12/14,SAS,L
257,DEN,17/12/14,HOU,L
267,DEN,19/12/14,LAC,W
277,DEN,20/12/14,IND,W
287,DEN,22/12/14,CHO,L
297,DEN,23/12/14,BRK,L
307,DEN,26/12/14,MIN,W
3111,DEN,28/12/14,TOR,L
328,DEN,30/12/14,LAL,L
337,DEN,01/01/15,CHI,L
347,DEN,03/01/15,MEM,W
357,DEN,05/01/15,MIN,W
367,DEN,07/01/15,ORL,W
377,DEN,09/01/15,SAC,W
387,DEN,14/01/15,DAL,W
397,DEN,16/01/15,DAL,L
407,DEN,17/01/15,MIN,L
4111,DEN,19/01/15,GSW,L
428,DEN,20/01/15,SAS,L
437,DEN,23/01/15,BOS,L
447,DEN,25/01/15,WAS,L
457,DEN,26/01/15,LAC,L
467,DEN,28/01/15,NOP,W
477,DEN,29/01/15,MEM,L
487,DEN,31/01/15,CHO,L
497,DEN,03/02/15,PHI,L
507,DEN,04/02/15,BOS,L
5111,DEN,06/02/15,DET,L
528,DEN,09/02/15,OKC,L
537,DEN,10/02/15,LAL,W
547,DEN,20/02/15,MIL,L
557,DEN,22/02/15,OKC,L
567,DEN,23/02/15,BRK,L
577,DEN,25/02/15,PHO,L
587,DEN,27/02/15,UTA,L
597,DEN,01/03/15,NOP,L
607,DEN,03/03/15,MIL,W
6111,DEN,04/03/15,MIN,W
628,DEN,06/03/15,SAS,L
637,DEN,07/03/15,HOU,L
647,DEN,09/03/15,NYK,W
657,DEN,11/03/15,ATL,W
667,DEN,13/03/15,GSW,W
677,DEN,15/03/15,NOP,W
687,DEN,16/03/15,MEM,L
697,DEN,19/03/15,HOU,L
707,DEN,20/03/15,MIA,L
7111,DEN,22/03/15,ORL,W
728,DEN,25/03/15,PHI,L
737,DEN,27/03/15,UTA,W
747,DEN,28/03/15,POR,L
757,DEN,01/04/15,UTA,L
767,DEN,03/04/15,SAS,L
777,DEN,04/04/15,LAC,L
787,DEN,08/04/15,LAL,W
797,DEN,10/04/15,DAL,L
807,DEN,12/04/15,SAC,W
817,DEN,13/04/15,LAC,L
827,DEN,15/04/15,GSW,L
129,DET,29/10/14,DEN,L
229,DET,30/10/14,MIN,L
329,DET,01/11/14,BRK,L
429,DET,05/11/14,NYK,W
529,DET,07/11/14,MIL,W
629,DET,09/11/14,UTA,L
729,DET,10/11/14,CHI,L
810,DET,12/11/14,WAS,L
98,DET,14/11/14,OKC,W
108,DET,15/11/14,MEM,L
1112,DET,17/11/14,ORL,L
1210,DET,19/11/14,PHO,L
138,DET,21/11/14,ATL,L
148,DET,25/11/14,MIL,L
158,DET,26/11/14,LAC,L
168,DET,28/11/14,MIL,L
178,DET,30/11/14,GSW,L
188,DET,02/12/14,LAL,L
198,DET,03/12/14,BOS,L
208,DET,06/12/14,PHI,L
2112,DET,07/12/14,OKC,L
2210,DET,09/12/14,POR,L
238,DET,12/12/14,PHO,W
248,DET,13/12/14,SAC,W
258,DET,15/12/14,LAC,L
268,DET,17/12/14,DAL,L
278,DET,19/12/14,TOR,L
288,DET,21/12/14,BRK,L
298,DET,26/12/14,IND,W
308,DET,28/12/14,CLE,W
3112,DET,30/12/14,ORL,W
3210,DET,02/01/15,NYK,W
338,DET,04/01/15,SAC,W
348,DET,06/01/15,SAS,W
358,DET,07/01/15,DAL,W
368,DET,09/01/15,ATL,L
378,DET,10/01/15,BRK,W
388,DET,12/01/15,TOR,W
398,DET,14/01/15,NOP,L
408,DET,16/01/15,IND,W
4112,DET,17/01/15,PHI,W
4210,DET,19/01/15,ATL,L
438,DET,21/01/15,ORL,W
448,DET,24/01/15,MIL,L
458,DET,25/01/15,TOR,L
468,DET,27/01/15,CLE,L
478,DET,28/01/15,PHI,L
488,DET,31/01/15,HOU,W
498,DET,03/02/15,MIA,W
508,DET,04/02/15,IND,L
5112,DET,06/02/15,DEN,W
5210,DET,08/02/15,MIN,L
538,DET,10/02/15,CHO,W
548,DET,11/02/15,SAS,L
558,DET,20/02/15,CHI,W
568,DET,22/02/15,WAS,W
578,DET,24/02/15,CLE,L
588,DET,27/02/15,NYK,L
598,DET,28/02/15,WAS,L
608,DET,04/03/15,NOP,L
6112,DET,06/03/15,HOU,L
6210,DET,08/03/15,CHO,L
638,DET,10/03/15,LAL,L
648,DET,11/03/15,GSW,L
658,DET,13/03/15,POR,L
668,DET,14/03/15,UTA,L
678,DET,17/03/15,MEM,W
688,DET,18/03/15,PHI,L
698,DET,21/03/15,CHI,W
708,DET,22/03/15,BOS,W
7112,DET,24/03/15,TOR,W
7210,DET,27/03/15,ORL,W
738,DET,29/03/15,MIA,L
748,DET,31/03/15,ATL,W
758,DET,01/04/15,CHO,L
768,DET,03/04/15,CHI,L
778,DET,04/04/15,MIA,W
788,DET,08/04/15,BOS,L
798,DET,10/04/15,IND,L
808,DET,12/04/15,CHO,W
818,DET,13/04/15,CLE,L
828,DET,15/04/15,NYK,W
130,GSW,29/10/14,SAC,W
230,GSW,01/11/14,LAL,W
330,GSW,02/11/14,POR,W
430,GSW,05/11/14,LAC,W
530,GSW,08/11/14,HOU,W
630,GSW,09/11/14,PHO,L
730,GSW,11/11/14,SAS,L
819,GSW,13/11/14,BRK,W
99,GSW,15/11/14,CHO,W
109,GSW,16/11/14,LAL,W
1113,GSW,21/11/14,UTA,W
1211,GSW,23/11/14,OKC,W
139,GSW,25/11/14,MIA,W
149,GSW,26/11/14,ORL,W
159,GSW,28/11/14,CHO,W
169,GSW,30/11/14,DET,W
179,GSW,02/12/14,ORL,W
189,GSW,04/12/14,NOP,W
199,GSW,06/12/14,CHI,W
209,GSW,08/12/14,MIN,W
2113,GSW,10/12/14,HOU,W
2211,GSW,13/12/14,DAL,W
239,GSW,14/12/14,NOP,W
249,GSW,16/12/14,MEM,L
259,GSW,18/12/14,OKC,W
269,GSW,22/12/14,SAC,W
279,GSW,23/12/14,LAL,L
289,GSW,25/12/14,LAC,L
299,GSW,27/12/14,MIN,W
309,GSW,30/12/14,PHI,W
3113,GSW,02/01/15,TOR,W
3211,GSW,05/01/15,OKC,W
339,GSW,07/01/15,IND,W
349,GSW,09/01/15,CLE,W
359,GSW,13/01/15,UTA,W
369,GSW,14/01/15,MIA,W
379,GSW,16/01/15,OKC,L
389,GSW,17/01/15,HOU,W
399,GSW,19/01/15,DEN,W
409,GSW,21/01/15,HOU,W
4113,GSW,23/01/15,SAC,W
4211,GSW,25/01/15,BOS,W
439,GSW,27/01/15,CHI,L
449,GSW,30/01/15,UTA,L
459,GSW,31/01/15,PHO,W
